,Word,Freq,Prob
1,aahed,1.48255e-08,1.4825499999999999e-06
2,aalii,6.43369e-10,6.43369e-08
3,aargh,2.27397e-09,2.27397e-07
4,aarti,5.39611e-09,5.396110000000001e-07
5,abaca,1.44131e-07,1.4413100000000001e-05
6,abaci,2.91045e-08,2.9104500000000002e-06
7,abacs,1.01854e-09,1.0185400000000001e-07
8,abaft,2.00723e-07,2.0072299999999998e-05
9,abaka,1.03725e-09,1.0372499999999998e-07
10,abamp,6.83668e-10,6.83668e-08
11,aband,1.81041e-08,1.81041e-06
12,abash,3.17421e-08,3.17421e-06
13,abask,1.76726e-10,1.76726e-08
14,abaya,1.69519e-08,1.69519e-06
15,abbas,4.89534e-08,4.89534e-06
16,abbed,1.12063e-09,1.1206300000000002e-07
17,abbes,1.1692e-08,1.1692e-06
18,abcee,1.36609e-10,1.36609e-08
19,abeam,1.00203e-07,1.00203e-05
20,abear,9.33644e-09,9.33644e-07
21,abele,4.11605e-09,4.11605e-07
22,abers,1.97687e-09,1.97687e-07
23,abets,1.19821e-07,1.19821e-05
24,abies,1.2772e-07,1.2772e-05
25,abler,2.43167e-07,2.43167e-05
26,ables,1.06961e-07,1.06961e-05
27,ablet,3.95344e-09,3.9534400000000005e-07
28,ablow,4.31658e-09,4.31658e-07
29,abmho,4.07476e-10,4.07476e-08
30,abohm,8.87006e-10,8.87006e-08
31,aboil,5.16137e-09,5.16137e-07
32,aboma,8.84864e-10,8.84864e-08
33,aboon,2.81147e-08,2.81147e-06
34,abord,7.14939e-08,7.14939e-06
35,abore,3.94643e-08,3.94643e-06
36,abram,6.84982e-09,6.849819999999999e-07
37,abray,3.43178e-10,3.43178e-08
38,abrim,3.06825e-09,3.06825e-07
39,abrin,1.75739e-08,1.75739e-06
40,abris,4.17289e-09,4.17289e-07
41,absey,4.75749e-10,4.75749e-08
42,absit,1.66737e-08,1.6673700000000001e-06
43,abuna,4.63398e-09,4.63398e-07
44,abune,1.36988e-08,1.36988e-06
45,abuts,2.54877e-07,2.54877e-05
46,abuzz,5.85803e-08,5.85803e-06
47,abyes,1.77978e-10,1.77978e-08
48,abysm,2.32644e-08,2.32644e-06
49,acais,3.30226e-10,3.30226e-08
50,acari,1.98143e-08,1.98143e-06
51,accas,6.73183e-10,6.73183e-08
52,accoy,2.6901e-10,2.6900999999999997e-08
53,acerb,7.45747e-09,7.457469999999999e-07
54,acers,1.13087e-08,1.1308699999999999e-06
55,aceta,3.30531e-09,3.30531e-07
56,achar,8.42992e-09,8.429919999999999e-07
57,ached,1.25552e-06,0.000125552
58,aches,8.10138e-07,8.10138e-05
59,achoo,2.31381e-09,2.31381e-07
60,acids,2.02279e-05,0.00202279
61,acidy,5.80304e-09,5.80304e-07
62,acing,2.96085e-08,2.96085e-06
63,acini,2.00213e-07,2.00213e-05
64,ackee,1.29652e-08,1.29652e-06
65,acker,1.8748e-08,1.8748e-06
66,acmes,2.67569e-09,2.67569e-07
67,acmic,4.98644e-10,4.98644e-08
68,acned,3.66724e-09,3.66724e-07
69,acnes,4.86697e-08,4.866970000000001e-06
70,acock,3.6223e-09,3.6223000000000003e-07
71,acold,4.69421e-09,4.6942099999999995e-07
72,acred,1.95295e-08,1.95295e-06
73,acres,4.3168e-05,0.0043168
74,acros,3.16677e-08,3.16677e-06
75,acted,2.24602e-05,0.00224602
76,actin,1.4829e-06,0.00014829
77,acton,2.79844e-08,2.79844e-06
78,acyls,2.87615e-09,2.87615e-07
79,adaws,1.25855e-10,1.25855e-08
80,adays,3.32844e-08,3.3284399999999996e-06
81,adbot,1.42899e-10,1.42899e-08
82,addax,7.50099e-09,7.500990000000001e-07
83,added,0.000113133,0.0113133
84,adder,5.55873e-07,5.55873e-05
85,addio,1.15834e-08,1.15834e-06
86,addle,4.33954e-08,4.33954e-06
87,adeem,4.74705e-09,4.7470499999999996e-07
88,adhan,8.94168e-09,8.94168e-07
89,adieu,7.10176e-07,7.10176e-05
90,adios,2.39278e-08,2.39278e-06
91,adits,1.24227e-07,1.2422699999999999e-05
92,adman,2.7427e-08,2.7427e-06
93,admen,1.99953e-08,1.99953e-06
94,admix,1.7075e-08,1.7075e-06
95,adobo,2.73352e-08,2.73352e-06
96,adown,1.08243e-07,1.08243e-05
97,adoze,4.13306e-10,4.13306e-08
98,adrad,3.13097e-09,3.13097e-07
99,adred,1.6555e-09,1.6555e-07
100,adsum,5.44452e-09,5.44452e-07
101,aduki,3.99973e-09,3.9997300000000003e-07
102,adunc,3.94615e-10,3.94615e-08
103,adust,1.75981e-08,1.75981e-06
104,advew,1.12407e-10,1.12407e-08
105,adyta,3.64125e-09,3.64125e-07
106,adzed,1.47905e-08,1.4790499999999998e-06
107,adzes,1.20971e-07,1.20971e-05
108,aecia,3.68753e-08,3.6875300000000003e-06
109,aedes,2.59854e-08,2.59854e-06
110,aegis,7.55972e-07,7.55972e-05
111,aeons,1.61081e-07,1.6108100000000003e-05
112,aerie,4.30581e-08,4.30581e-06
113,aeros,5.70378e-09,5.70378e-07
114,aesir,1.44883e-09,1.4488300000000001e-07
115,afald,7.54479e-10,7.54479e-08
116,afara,2.03899e-09,2.03899e-07
117,afars,3.39362e-10,3.3936200000000004e-08
118,afear,1.76e-09,1.76e-07
119,aflaj,2.56352e-09,2.56352e-07
120,afore,1.09937e-06,0.000109937
121,afrit,3.93831e-09,3.93831e-07
122,afros,4.52413e-09,4.52413e-07
123,agama,2.7776e-08,2.7776e-06
124,agami,2.89858e-09,2.8985800000000003e-07
125,agars,2.89631e-08,2.89631e-06
126,agast,1.11847e-08,1.11847e-06
127,agave,1.59195e-07,1.59195e-05
128,agaze,2.90698e-09,2.90698e-07
129,agene,7.40656e-09,7.40656e-07
130,agers,3.17151e-07,3.17151e-05
131,agger,4.31428e-08,4.31428e-06
132,aggie,1.00255e-08,1.0025499999999998e-06
133,aggri,4.91672e-10,4.9167200000000004e-08
134,aggro,1.81275e-08,1.8127500000000001e-06
135,aggry,1.35762e-09,1.35762e-07
136,aghas,9.5236e-09,9.523599999999999e-07
137,agila,1.3674e-09,1.3674e-07
138,agios,3.59375e-09,3.59375e-07
139,agism,4.20094e-09,4.2009399999999995e-07
140,agist,5.98438e-09,5.984380000000001e-07
141,agita,1.8984e-08,1.8984e-06
142,aglee,3.25629e-09,3.25629e-07
143,aglet,5.89712e-09,5.89712e-07
144,agley,1.17702e-08,1.17702e-06
145,agloo,1.81766e-10,1.81766e-08
146,aglus,3.04e-10,3.04e-08
147,agmas,2.01069e-10,2.01069e-08
148,agoge,5.64456e-09,5.64456e-07
149,agone,8.16774e-08,8.167740000000001e-06
150,agons,5.87251e-09,5.87251e-07
151,agood,5.68708e-08,5.6870800000000004e-06
152,agria,5.14994e-09,5.14994e-07
153,agrin,1.92339e-08,1.92339e-06
154,agros,2.47442e-08,2.47442e-06
